Name,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
a18,0.0,0.2596,0.04002,0.01594,-0.0696,1.0,1.0
a18,0.5,0.3023,0.04138,0.01689,-0.0696,1.0,1.0
a18,1.0,0.3433,0.04296,0.01822,-0.0696,1.0,1.0
a18,1.5,0.3824,0.04478,0.01996,-0.0696,1.0,1.0
a18,2.0,0.4199,0.04686,0.02206,-0.0697,1.0,1.0
a18,2.5,0.4556,0.04922,0.0246,-0.0699,1.0,1.0
a18,3.0,0.4895,0.05188,0.02751,-0.0703,1.0,1.0
a18,3.5,0.5216,0.05487,0.03089,-0.0708,1.0,1.0
a18,4.0,0.552,0.05823,0.03469,-0.0716,1.0,1.0
a18,4.5,0.5802,0.062,0.03898,-0.0726,1.0,1.0
a18,5.0,0.606,0.06627,0.0439,-0.074,1.0,1.0
a18,5.5,0.6288,0.07113,0.04942,-0.0757,1.0,1.0
a18,6.0,0.6481,0.07674,0.05571,-0.078,1.0,1.0
a18,6.5,0.6634,0.08326,0.06298,-0.0809,1.0,1.0
a18,7.0,0.6747,0.0907,0.07104,-0.0845,1.0,1.0
a18,7.5,0.6842,0.09875,0.07962,-0.0883,1.0,1.0
a18,8.0,0.6938,0.10705,0.08841,-0.0922,1.0,1.0
a18,8.5,0.7041,0.1155,0.09733,-0.096,1.0,1.0
a18,9.0,0.7149,0.1241,0.10636,-0.0998,1.0,1.0
a18,9.5,0.7264,0.13284,0.1156,-0.1037,1.0,1.0
a18,10.0,0.7387,0.14171,0.12484,-0.1076,1.0,1.0
a18,10.5,0.7518,0.15065,0.13412,-0.1117,1.0,1.0
a18,11.0,0.766,0.15966,0.14342,-0.1157,1.0,1.0
a18,11.5,0.7812,0.1687,0.15272,-0.1199,1.0,1.0
a18,12.0,0.7972,0.17773,0.16197,-0.124,1.0,1.0
a18,12.5,0.8141,0.18676,0.17117,-0.1282,1.0,1.0
a18,13.0,0.8318,0.19575,0.18031,-0.1324,1.0,1.0
a18,13.5,0.8606,0.20718,0.19205,-0.1395,0.9873,1.0
a18,14.0,0.9014,0.21809,0.20321,-0.149,0.9313,1.0
a18,14.5,0.9349,0.23021,0.21548,-0.1558,0.8943,1.0
a18,15.0,0.9586,0.23678,0.22215,-0.1599,0.8587,1.0
a18,15.5,0.986,0.24567,0.23113,-0.1644,0.8192,1.0
a18,16.0,1.0156,0.25699,0.24254,-0.169,0.7808,1.0
a18,16.5,1.0391,0.26542,0.25105,-0.1727,0.7516,1.0
a18,17.0,1.0632,0.27474,0.26059,-0.1764,0.723,1.0
a18,17.5,1.0852,0.28251,0.26842,-0.1797,0.6936,1.0
a18,18.0,1.106,0.28946,0.27542,-0.1827,0.6638,1.0
a18,18.5,1.1274,0.29728,0.28329,-0.1858,0.6349,1.0
a18,19.0,1.1489,0.30569,0.29178,-0.189,0.6077,1.0
a18,19.5,1.1649,0.30939,0.29549,-0.192,0.5842,1.0
a18,20.0,1.1856,0.31803,0.30418,-0.1954,0.5608,1.0
a18,20.5,1.2067,0.32725,0.31348,-0.1987,0.5356,1.0
a18,21.0,1.2223,0.33128,0.31753,-0.202,0.5148,1.0
a18,21.5,1.2425,0.34046,0.32696,-0.2054,0.4922,1.0
