Name,Thickness,Thickness Position,Camber,Camber Positionkc135a,49.162766,64.139,-26.075096,64.139
c5c,4.759231,3.739,-2.139424,31.0
c5d,5.440918,4.335,0.613826,4.33
c5e,6.369667,5.169,-3.072178,31.0
cap21c,0.155704,0.157,0.005829,0.238
cast102,6.530834,5.357,-3.151018,29.0
ch10sm,0.128374,0.306,0.101937,0.493
chen,107.798164,-34.886,48.484756,-34.886
clarkk,19.808107,28.546,-9.925386,28.546
clarkv,29.918684,39.582,-15.421703,39.582
clarkw,5.649682,21.347,-3.549615,21.347
clarkx,23.574104,34.702,-12.180903,34.702
clarky,59.357635,109.368,-36.444504,109.368
clarkyh,15.316634,4.807,7.631973,4.807
clarkys,12.931473,7.29,6.072681,7.29
clarkysm,0.117242,0.309,0.035235,0.435
clarkz,25.153469,36.367,-13.312416,36.367
clarym15,2.585618,2.029,-0.841118,17.0
clarym18,2.941242,2.336,-1.94365,18.423
coanda1,0.056503,0.3,0.028931,0.4
coanda2,0.060006,0.299,0.028865,0.301
coanda3,0.070011,0.301,0.028654,0.401
cootie,1.508973,1.131,-0.227989,17.0
cr001sm,0.07333,0.271,0.040584,0.454
curtisc72,0.117413,0.296,0.037004,0.496
dae11,10.011696,1.0,1.00657,7.831
dae21,381.246429,351.219,-195.271393,351.219
dae51,15.446362,27.685,4.549829,27.685
davis,1.516248,1.138,-0.239258,17.0
davissm,0.05874,0.306,0.059076,0.454
davis_corrected,45.668835,32.119,14.221508,32.119
daytonwright6,0.136106,0.296,0.048477,0.397
daytonwrightt1,0.133974,0.295,0.043594,0.404
defcnd1,8.665817,7.125,-4.424254,40.0
defcnd2,7.204579,5.776,0.784651,5.759
defcnd3,10.550836,1.0,1.057102,8.449
df101,6.698613,5.397,0.729319,5.39
df102,0.110025,0.291,0.022877,0.435
dfvlrr4,50.810616,28.511,15.05846,28.511
dga1138,0.069028,0.301,0.025602,0.399
dga1182,0.076001,0.3,0.00828,0.2
dh4009sm,0.08945,0.416,0.001901,0.096
doa5,38.754608,14.146,15.69306,14.146
dormoy,0.089993,0.298,0.028428,0.402
drgnfly,87.207512,3.225,33.553997,3.225
dsma523a,15.77177,1.0,1.476867,12.052
dsma523b,15.760745,1.0,1.477321,12.051
du84132v,29.794664,24.579,9.260436,24.579
du8608418,0.084544,0.369,0.011212,0.428
du861372,5.326478,3.885,0.574847,3.867
e1098,6.737791,5.314,0.728925,5.293
e1200,7.254637,5.792,0.774089,5.766
e1210,7.534569,6.0,0.795863,5.953
e1211,6.696886,5.318,0.726035,5.273
e1212,8.225443,1.0,0.847806,6.602
e1212mod,4.859271,3.893,-2.177962,27.0
e1213,6.008775,4.814,0.666127,4.788
e1214,5.949861,4.812,0.661816,4.785
e1230,60.430298,4.293,23.587368,4.293
e1233,13.683631,1.0,1.291135,10.234
e168,0.12442,0.267,0.0,0.011
e169,0.14404,0.265,0.0,0.116
e171,0.12254,0.324,-0.0,0.011
e174,0.08923,0.312,0.038272,0.402
e176,0.088278,0.305,0.032751,0.401
e178,0.086919,0.306,0.02779,0.388
e180,0.085912,0.315,0.022669,0.382
e182,0.084694,0.324,0.017015,0.375
e184,0.083279,0.321,0.011693,0.368
e186,0.102746,0.31,0.012806,0.29
e193,0.102262,0.31,0.035426,0.4
e195,0.118218,0.341,0.031552,0.442
e197,0.134874,0.342,0.027882,0.444
e201,0.118795,0.338,0.030681,0.446
e203,0.13649,0.334,0.026553,0.493
e205,0.104798,0.301,0.029798,0.352
e207,0.120281,0.3,0.024884,0.386
e209,0.136924,0.338,0.019896,0.432
e210,0.13648,0.314,0.040238,0.468
e211,0.109643,0.332,0.025512,0.591
e212,0.105608,0.275,0.029164,0.584
e214,0.111072,0.331,0.040285,0.525
e216,0.10437,0.286,0.051612,0.556
e220,0.114691,0.369,0.024846,0.377
e221,0.093834,0.281,0.01856,0.32
e222,0.101733,0.311,0.024887,0.504
e224,0.101742,0.3,0.017665,0.492
e226,0.101878,0.286,0.009629,0.429
e228,0.10069,0.279,0.002675,0.319
e230,0.099651,0.293,-0.007851,0.758
e231,0.123401,0.394,0.02463,0.394
e266,39.412849,2.1,17.720331,2.1
e297,6.698298,5.438,-3.270029,35.0
e325,8.936477,1.0,0.926442,7.623
e326,7.87407,6.728,-3.925092,34.0
e327,8.42078,1.0,0.887838,7.191
e328,7.24546,6.241,0.788673,6.227
e329,35.649517,3.532,13.846726,3.532
e330,7.085104,6.048,0.772989,6.041
e331,9.236234,1.0,0.946989,7.824
e332,8.71031,7.529,-4.405512,34.0
e333,7.35769,6.31,0.798314,6.295
e334,34.972046,3.979,13.324425,3.979
e335,8.131218,1.0,0.866583,6.951
e336,8.663044,1.0,0.906073,7.393
e337,7.721843,6.627,0.832289,6.619
e338,8.220078,1.0,0.873295,7.024
e339,6.562538,5.604,-3.15088,33.0
e340,8.636487,1.0,0.904732,7.372
e341,7.399396,6.384,0.803041,6.376
e342,7.919069,6.842,0.848514,6.833
e343,8.690623,1.0,0.908239,7.417
e344,6.881506,5.902,0.755819,5.885
e360,8.733084,1.0,0.911336,7.454
e361,8.813736,1.0,0.917618,7.521
e374,0.109226,0.362,0.02264,0.389
e376,7.05274,5.391,0.755639,5.374
e377,7.593757,1.0,0.79866,5.814
e377m,7.339535,5.952,0.790547,5.936
e378,9.241677,7.402,-4.746646,34.0
e379,7.421288,1.0,0.785388,5.678
e385,0.08427,0.305,0.057173,0.429
e387,0.090706,0.311,0.037836,0.401
e392,0.101519,0.316,0.038534,0.436
e393,6.197101,4.834,0.680521,4.816
e395,9.186851,7.598,-4.717835,37.0
e396,9.375827,1.0,0.949072,7.536
e397,9.378621,1.0,0.946995,7.542
e398,8.421347,1.0,0.881961,6.91
e399,9.684884,1.0,0.970266,7.795
e403,3.241619,2.394,0.39574,2.394
e407,8.538779,7.118,-4.332231,36.0
e417,2.816109,2.058,0.353286,2.058
e420,8.867873,1.0,0.9214,7.436
e421,7.262878,6.163,0.79064,6.142
e422,8.062733,6.923,0.861465,6.9
e423,0.125212,0.24,0.099212,0.448
e426,2.207518,1.714,-0.625026,20.0
e428,14.569417,8.477,6.196682,8.477
e431,8.427744,7.151,-4.255717,35.0
e432,8.976789,1.0,0.925469,7.516
