Name,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
a18,23.0,1.2964,0.3575,0.34414,-0.217,0.4374,1.0
a18,23.5,1.3118,0.3622,0.34892,-0.2209,0.4195,1.0
a18,24.0,1.3288,0.36952,0.35633,-0.2247,0.402,1.0
a18,24.5,1.3458,0.37763,0.36453,-0.2285,0.386,1.0
a18,25.0,1.3615,0.38455,0.37165,-0.2326,0.3713,1.0
a18,25.5,1.3758,0.38939,0.37657,-0.2369,0.358,1.0
a18,26.0,1.3893,0.39345,0.38071,-0.2413,0.3455,1.0
a18,26.5,1.4028,0.39787,0.3852,-0.2459,0.3336,1.0
a18,27.0,1.4163,0.40294,0.39036,-0.2504,0.322,1.0
a18,27.5,1.43,0.40899,0.3965,-0.2549,0.3107,1.0
a18,28.0,1.4441,0.41658,0.4042,-0.2592,0.2993,1.0
a18,28.5,1.4587,0.42636,0.4142,-0.2634,0.2872,1.0
a18,29.0,1.4686,0.42522,0.41317,-0.2687,0.277,1.0
a18,29.5,1.4797,0.42874,0.41679,-0.2738,0.2684,1.0
a18,30.0,1.4931,0.4389,0.42707,-0.2781,0.2589,1.0
a18sm,0.0,0.1753,0.038,0.01526,-0.0687,1.0,1.0
a18sm,0.5,0.2219,0.03901,0.0154,-0.069,1.0,1.0
a18sm,1.0,0.2661,0.0402,0.01601,-0.0689,1.0,1.0
a18sm,1.5,0.3084,0.0416,0.017,-0.0688,1.0,1.0
a18sm,2.0,0.349,0.04322,0.01839,-0.0687,1.0,1.0
a18sm,2.5,0.3878,0.04507,0.02017,-0.0687,1.0,1.0
a18sm,3.0,0.4249,0.04719,0.02231,-0.0687,1.0,1.0
a18sm,3.5,0.4603,0.04958,0.02484,-0.0689,1.0,1.0
a18sm,4.0,0.494,0.05227,0.02783,-0.0692,1.0,1.0
a18sm,4.5,0.5259,0.0553,0.03119,-0.0697,1.0,1.0
a18sm,5.0,0.556,0.0587,0.03509,-0.0704,1.0,1.0
a18sm,5.5,0.5839,0.06251,0.03941,-0.0714,1.0,1.0
a18sm,6.0,0.6094,0.06683,0.0443,-0.0727,1.0,1.0
a18sm,6.5,0.6319,0.07173,0.04984,-0.0744,1.0,1.0
a18sm,7.0,0.6511,0.07736,0.05622,-0.0767,1.0,1.0
a18sm,7.5,0.6666,0.08384,0.06337,-0.0795,1.0,1.0
a18sm,8.0,0.6784,0.09119,0.07134,-0.083,1.0,1.0
a18sm,8.5,0.6878,0.09927,0.07998,-0.0868,1.0,1.0
a18sm,9.0,0.6963,0.10783,0.08903,-0.0909,1.0,1.0
a18sm,9.5,0.705,0.11666,0.09839,-0.095,1.0,1.0
a18sm,10.0,0.7146,0.12562,0.10776,-0.0992,1.0,1.0
a18sm,10.5,0.7253,0.13465,0.11714,-0.1033,1.0,1.0
a18sm,11.0,0.7373,0.14369,0.12649,-0.1075,1.0,1.0
a18sm,11.5,0.7507,0.15268,0.13575,-0.1116,1.0,1.0
a18sm,12.0,0.7653,0.16161,0.14491,-0.1157,1.0,1.0
a18sm,12.5,0.7812,0.17047,0.15398,-0.1198,1.0,1.0
a18sm,13.0,0.7979,0.17925,0.16294,-0.1239,1.0,1.0
a18sm,13.5,0.8154,0.18796,0.1719,-0.1279,1.0,1.0
a18sm,14.0,0.8335,0.19663,0.18072,-0.132,1.0,1.0
a18sm,14.5,0.8668,0.20893,0.19325,-0.1401,0.9823,1.0
a18sm,15.0,0.9032,0.21839,0.20297,-0.1484,0.9345,1.0
a18sm,15.5,0.9357,0.2299,0.21465,-0.155,0.9001,1.0
a18sm,16.0,0.9626,0.23763,0.22261,-0.1598,0.8611,1.0
a18sm,16.5,0.9877,0.24522,0.23031,-0.1639,0.8245,1.0
a18sm,17.0,1.0126,0.2536,0.23881,-0.168,0.7933,1.0
a18sm,17.5,1.0381,0.26289,0.24821,-0.1721,0.7618,1.0
a18sm,18.0,1.064,0.27298,0.25839,-0.176,0.7297,1.0
a18sm,18.5,1.0847,0.27941,0.26498,-0.1791,0.6996,1.0
a18sm,19.0,1.1077,0.28837,0.27404,-0.1826,0.672,1.0
a18sm,19.5,1.1306,0.29766,0.28344,-0.186,0.6445,1.0
a18sm,20.0,1.149,0.30291,0.28875,-0.1889,0.6176,1.0
a18sm,20.5,1.1672,0.30848,0.29437,-0.192,0.5918,1.0
a18sm,21.0,1.1865,0.31563,0.30159,-0.1953,0.568,1.0
a18sm,21.5,1.2099,0.32753,0.31371,-0.1988,0.5441,1.0
a18sm,22.0,1.2238,0.32951,0.31571,-0.2021,0.5239,1.0
a18sm,22.5,1.2466,0.34187,0.32821,-0.2056,0.501,1.0
a18sm,23.0,1.2598,0.34335,0.32971,-0.2091,0.4819,1.0
a18sm,23.5,1.2783,0.35126,0.33773,-0.2126,0.4608,1.0
a18sm,24.0,1.2968,0.36049,0.34703,-0.2162,0.4429,1.0
a18sm,24.5,1.3112,0.36413,0.35084,-0.2201,0.4267,1.0
a18sm,25.0,1.3264,0.36902,0.35581,-0.2241,0.4106,1.0
