
1	0
0.99645	0.00088
0.98649	0.00353
0.97108	0.00762
0.95055	0.01271
0.92523	0.01867
0.89558	0.0253
0.86207	0.03236
0.82513	0.03957
0.7852	0.04667
0.74269	0.0534
0.69802	0.05955
0.65161	0.06492
0.60385	0.06934
0.55516	0.0727
0.50595	0.07493
0.45662	0.076
0.40763	0.07595
0.35946	0.07484
0.31258	0.07272
0.26751	0.06966
0.2247	0.0657
0.18461	0.06093
0.14765	0.0554
0.1142	0.0492
0.08459	0.04242
0.05908	0.03517
0.03791	0.0276
0.02125	0.01989
0.00927	0.01229
0.00212	0.00513
0.00061	0.00245
0.00011	0.00093
0.00003	-0.00044
0.00044	-0.00175
0.00129	-0.00313
0.00475	-0.00659
0.01491	-0.01268
0.03019	-0.01888
0.05029	-0.02499
0.0749	-0.03081
0.10373	-0.03617
0.13648	-0.04089
0.17285	-0.04482
0.21249	-0.04786
0.25505	-0.04992
0.30015	-0.05094
0.34738	-0.05091
0.39633	-0.04982
0.44656	-0.04773
0.49761	-0.0447
0.549	-0.04084
0.60026	-0.03628
0.65088	-0.03119
0.70036	-0.02578
0.74816	-0.02025
0.79374	-0.01486
0.83655	-0.00987
0.87598	-0.00559
0.91136	-0.00227
0.9419	-0.00017
0.9667	0.00071
0.98498	0.0007
0.99621	0.00025
1	0
