
0.97	0.0041
0.94	0.0082
0.9	0.0138
0.85	0.0209
0.8	0.028
0.75	0.0358
0.7	0.0435
0.65	0.0515
0.6	0.06
0.55	0.0683
0.5	0.076
0.45	0.0827
0.4	0.088
0.35	0.0908
0.3	0.0915
0.25	0.09
0.2	0.085
0.16	0.0789
0.12	0.0696
0.1	0.064
0.08	0.0568
0.07	0.0528
0.06	0.0485
0.05	0.0436
0.04	0.0386
0.034	0.0352
0.028	0.0313
0.024	0.0288
0.02	0.0258
0.016	0.0227
0.012	0.0195
0.008	0.0158
0.004	0.0108
0.002	0.0072
0	0
0.002	-0.0055
0.004	-0.008
0.008	-0.0107
0.012	-0.0125
0.016	-0.0136
0.02	-0.0146
0.024	-0.0155
0.028	-0.0164
0.034	-0.0175
0.04	-0.0185
0.05	-0.02
0.06	-0.0212
0.07	-0.0223
0.08	-0.0234
0.1	-0.025
0.12	-0.0263
0.16	-0.0278
0.2	-0.0284
0.25	-0.0287
0.3	-0.029
0.35	-0.0286
0.4	-0.028
0.45	-0.0271
0.5	-0.026
0.55	-0.0248
0.6	-0.023
0.65	-0.0209
0.7	-0.019
0.75	-0.0165
0.8	-0.014
0.85	-0.0112
0.9	-0.008
0.94	-0.0051
0.97	-0.0026
1	0
